#,component,variable,function_name,weight_group,weight,Implemented,Implementation Notes,Test Coverage,geojson_property,frontend_field,data_type,unit,min,max,nullable,validation_rules,description,data_source,source_url,api_endpoint,api_params,dependencies,join_keys,transform_steps,calculation_formula,derived_or_direct,exists_in_code,used_in_validation,notes,quality_tiers,quality_field,provenance_field,ui_user_mode,ui_debug_mode,geography_level,join_grain,fallback_chain,estimation_method,proxy_method,cache_primary,cache_fallback,code_locations
11,Vulnerability,vuln_uninsured,compute_vuln_uninsured,vulnerability_score,0.3972,Yes,"ACS uninsured share computed from B27010 'No health insurance coverage' bins; missing values filled with county mean.",Unit tested,vuln_uninsured,vulnerability,float,0-1,0,1,No,0<=x<=1,Uninsured rate,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,"get=B27010_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E&for=block%20group:*",ACS health insurance,"state,county,tract,block group","sum no-insurance bins; divide by total; fill county mean","(B27010_017E+B27010_033E+B27010_050E+B27010_066E)/B27010_001E",Derived,Yes,Yes,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:county-mean] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG uninsured -> county-mean fill -> MISSING,county-mean fill for missing BG ratios,,"data/real_cache/counties/{county_fips}/acs_2021_5yr/uninsured/data.csv",,src/utils/real_data.py:compute_vuln_uninsured_real; main.js:_formatValue/_debugTag
12,Vulnerability,vulnerability_score,compute_vulnerability_score,,,Yes,Weighted sum of normalized vulnerability features,Unit tested,vulnerability_score,vulnerability,float,0-1,0,1,No,0<=x<=1,Combined vulnerability,Derived,,,,"vuln_poverty,vuln_elderly,vuln_uninsured",block_id,normalize; weighted sum,w1*vp + w2*ve + w3*vu,Derived,Yes,Yes,source weights stored in input rows,,DERIVED (from components),n/a,n/a,show value (no star rule applied),append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on component availability,computed from components,computed from components,,src/features/build_features.py:weighted_sum
13,Resilience,res_vehicle_access,compute_res_vehicle_access,resilience_score,0.0761,Yes,"ACS vehicle access share at BG when available; tract fallback handled by shared vehicle-access reader.",Unit tested,res_vehicle_access,resilience,float,0-1,0,1,No,0<=x<=1,Vehicle access share,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,"get=B08201_002E,B08201_001E&for=block%20group:*",ACS vehicle stats,"state,county,tract,block group",compute ratio; fallback to tract assignment,1-(B08201_002E/B08201_001E),Derived,Yes,Yes,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:tract] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG vehicle_access -> tract vehicle_access cache/API -> MISSING,tract->BG assignment (by tract GEOID),,"data/real_cache/counties/{county_fips}/acs_2021_5yr/vehicle_access/data.csv","data/real_cache/counties/{county_fips}/acs_2021_5yr/vehicle_access_tract/data.csv",src/utils/real_data.py:compute_res_vehicle_access_real; main.js:_formatValue/_debugTag
14,Resilience,res_median_household_income,compute_res_median_household_income,resilience_score,0.3967,Yes,"ACS median household income (B19013_001E) at BG; missing filled with county mean.",Unit tested,res_median_household_income,resilience,float,USD,0,inf,No,x>=0,Median household income,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,"get=B19013_001E&for=block%20group:*",ACS income,"state,county,tract,block group",cast numeric; fill county mean,B19013_001E,Derived,Yes,Yes,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:county-mean] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG income -> county-mean fill -> MISSING,county-mean fill for missing BG values,,"data/real_cache/counties/{county_fips}/acs_2021_5yr/median_household_income/data.csv",,src/utils/real_data.py:compute_res_median_household_income_real; main.js:_formatValue/_debugTag
15,Resilience,res_internet_access,compute_res_internet_access,resilience_score,0.5272,Yes,"ACS internet access share from B28002; higher = more connected. Missing values filled with county mean.",Unit tested,res_internet_access,resilience,float,0-1,0,1,No,0<=x<=1,Internet access share,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,"get=B28002_001E,B28002_013E&for=block%20group:*",ACS internet,"state,county,tract,block group","compute 1 - no_internet/total; fill county mean","1-(B28002_013E/B28002_001E)",Derived,Yes,Yes,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:county-mean] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG internet_access -> county-mean fill -> MISSING,county-mean fill for missing BG values,,"data/real_cache/counties/{county_fips}/acs_2021_5yr/internet_access/data.csv",,src/utils/real_data.py:compute_res_internet_access_real; main.js:_formatValue/_debugTag
16,Resilience,resilience_score,compute_resilience_score,,,Yes,Weighted sum of normalized resilience features,Unit tested,resilience_score,resilience,float,0-1,0,1,No,0<=x<=1,Combined resilience,Derived,,,,"res_vehicle_access,res_median_household_income,res_internet_access",block_id,normalize; weighted sum,w1*rva + w2*rinc + w3*ria,Derived,Yes,Yes,source weights stored in input rows,,DERIVED (from components),n/a,n/a,show value (no star rule applied),append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on component availability,computed from components,computed from components,,src/features/build_features.py:weighted_sum
17,Model,risk_score,compute_risk_score,,,Yes,Unified risk calculation,Unit tested,risk_score,risk,float,0-1,0,1,No,0<=x<=1,Risk score,Derived,,,,"hazard_score,exposure_score,vulnerability_score,resilience_score",block_id,combine,H*E*V*(1-R),Derived,Yes,Yes,,DERIVED (from scores),n/a,n/a,show value (no star rule applied),append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on score availability,computed from scores,computed from scores,,,src/models/risk_model.py:compute_risk; src/features/build_features.py
18,Model,eal,compute_eal,,,Yes,Expected annual loss (USD) = risk_score * exposure_building_value,Unit tested,eal,eal,float,USD,0,inf,No,x>=0,Expected annual loss,Derived,,,,"risk_score,exposure_building_value",block_id,multiply,risk_score * exposure_building_value,Derived,Yes,Yes,canonical economic loss; exposure_building_value from row 7,,DERIVED (from risk_score × building value),n/a,n/a,show value; star if exposure_building_value is ESTIMATED/PROXY,append [est:...] only if explicitly added later,block-group polygon (block_id row),block_id,depends on exposure_building_value quality,,"",,src/models/risk_model.py:eal; main.js:_formatValue/_debugTag
19,Model,eal_norm,normalize_eal,,,Yes,Min-max normalization of eal for choropleth maps; canonical property name eal_norm (not eal_normalized),Unit tested,eal_norm,eal,float,0-1,0,1,No,0<=x<=1,Normalized EAL for visualization,Derived,,,,eal,block_id,min-max scale,(eal-min)/(max-min),Derived,Yes,No,frontend layer uses eal_norm,,DERIVED (from eal),n/a,n/a,show value,append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on eal variability,,"",,src/models/risk_model.py:eal_norm; main.js:_formatValue/_debugTag
20,Validation,block_to_county_mapping,aggregate_block_to_county,,,Yes,Implemented in validation metrics module (block-to-county mapping),Unit tested,block_to_county_mapping,validation,object,N/A,,,Yes,valid mapping,Block to county mapping,Derived,,,,"block,county geometries",block_id,spatial join/groupby,mapping table,Derived,No,Yes,,,,,,,block-group polygon (block_id row),block_id,,,,,,src/validation/metrics.py; src/validation/run_all.py
21,Validation,fema_nri_comparison,compare_with_fema_nri,,,Yes,Implemented in validation metrics module (FEMA NRI comparison with fallback),Unit tested,fema_nri_comparison,validation,object,N/A,,,Yes,valid join,Compare with FEMA NRI,FEMA NRI,https://www.fema.gov/about/openfema/data-sets/national-risk-index-data,https://services.arcgis.com/XG15cJAlne2vxtgt/ArcGIS/rest/services/National_Risk_Index_Counties/FeatureServer/0/query,"where=STATEABBRV='CA'; outFields=STCOFIPS,RISK_SCORE,EAL_VALT,NRI_VER", "county_risk,county_eal + NRI",county_fips,join; compute error metrics,"corr (if >=2 counties), rmse",Derived,No,Yes,depends_on:fema_nri_dataset,,,,,,county-level,county_fips,,,,data/external/fema_nri_county.csv,scripts/fetch_external_validation_data.py,src/validation/metrics.py; src/validation/run_all.py
22,Validation,county_risk,compute_county_risk_from_blocks,,,Yes,Implemented in validation metrics module (county risk aggregation),Unit tested,county_risk,validation,float,0-1,0,1,Yes,0<=x<=1,County risk,Derived,,,,risk_score,county_fips,aggregate mean,mean(risk_score),Derived,No,Yes,,,,,,county-level,county_fips,,,,,,,src/validation/metrics.py; src/validation/run_all.py
23,Validation,county_eal,compute_county_eal_from_blocks,,,Yes,Implemented in validation metrics module (county EAL aggregation),Unit tested,county_eal,validation,float,USD,0,inf,Yes,x>=0,County EAL,Derived,,,,eal,county_fips,aggregate sum,sum(eal),Derived,No,Yes,,,,,,county-level,county_fips,,,,,,,src/validation/metrics.py; src/validation/run_all.py
24,Validation,fire_overlap_ratio,compute_historical_fire_overlap,,,Yes,Implemented in validation metrics module (historical fire overlap),Unit tested,fire_overlap_ratio,validation,float,0-1,0,1,Yes,0<=x<=1,Fire overlap ratio,MTBS,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MTBS_01/MapServer/63?f=pjson,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MTBS_01/MapServer/63/query,"geometry=envelope(butte_bbox); spatialRel=Intersects; outFields=FIRE_ID,YEAR,ACRES; f=geojson",risk_score + fire perimeters,geometry,overlay; top decile,burned_in_top/total_burned,Derived,No,Yes,depends_on:fire_perimeters_dataset,,,,,,county-level,geometry,,,,data/external/mtbs_fire_perimeters.geojson,scripts/fetch_external_validation_data.py,src/validation/metrics.py; src/validation/run_all.py
25,Validation,auc_score,compute_auc_fire_prediction,,,Yes,Implemented in validation metrics module (AUC fire prediction),Unit tested,auc_score,validation,float,0-1,0,1,Yes,0<=x<=1,AUC score,MTBS (labels),https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MTBS_01/MapServer/63?f=pjson,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MTBS_01/MapServer/63/query,"geometry=envelope(butte_bbox); spatialRel=Intersects; derive burned labels from perimeters; AUC vs risk_score",risk_score + labels,block_id,roc_auc,"AUC(risk,labels)",Derived,No,Yes,,,,,,county-level,block_id,,,,data/external/mtbs_fire_perimeters.geojson,scripts/fetch_external_validation_data.py,src/validation/metrics.py; src/validation/run_all.py
26,Validation,risk_concentration,compute_risk_concentration,,,Yes,Implemented in validation metrics module (risk concentration),Unit tested,risk_concentration,validation,float,0-1,0,1,Yes,0<=x<=1,Risk concentration,Derived,,,,risk_score,block_id,sort; cumulative,top10_share,Derived,No,Yes,,,,,,county-level,block_id,,,,,,,src/validation/metrics.py; src/validation/run_all.py
27,Validation,gini_risk,compute_lorenz_curve,,,Yes,Implemented in validation metrics module (Lorenz/Gini risk),Unit tested,gini_risk,validation,float,0-1,0,1,Yes,0<=x<=1,Gini coefficient,Derived,,,,risk_score,block_id,lorenz; gini,gini(risk_score),Derived,No,Yes,,,,,,county-level,block_id,,,,,,,src/validation/metrics.py; src/validation/run_all.py
